"Classification_ID","Run_ID","US_ID","Condition","Question_ID","Segment_ID","Question_Original","Gap_Normalized","Contextual_Category","Coverage","Functional_Relevance","Evidence","Justification","Judge_ID","Adjudication_Status"
"CLS0001","US02_C0_R1","US02","C0","Q01","S01","What minimum facility details must each result display so users can decide which facilities to consider?","","","","","","","","Pending"
"CLS0002","US02_C0_R1","US02","C0","Q02","S01","What ZIP code formats are valid: 5-digit only, ZIP+4, or both?","","","","","","","","Pending"
"CLS0003","US02_C0_R1","US02","C0","Q03","S01","When multiple facilities have the same distance, what secondary ordering should be used?","","","","","","","","Pending"
"CLS0004","US02_C0_R1","US02","C0","Q04","S01","What user-facing response is required when a syntactically valid ZIP code cannot be geocoded?","","","","","","","","Pending"
"CLS0005","US02_C0_R1","US02","C0","Q05","S01","What defines a facility as “verified” for eligibility in search results?","","","","","","","","Pending"
"CLS0006","US02_C0_R1","US02","C0","Q06","S01","[NEEDS CLARIFICATION] What minimum facility details must each result display so users can decide which facilities to consider?","","","","","","","","Pending"
"CLS0007","US02_C0_R1","US02","C0","Q07","S01","[NEEDS CLARIFICATION] What ZIP code formats are valid: 5-digit only, ZIP+4, or both?","","","","","","","","Pending"
"CLS0008","US02_C0_R1","US02","C0","Q08","S01","[NEEDS CLARIFICATION] When multiple facilities have the same distance, what secondary ordering should be used?","","","","","","","","Pending"
"CLS0009","US02_C0_R1","US02","C0","Q09","S01","[NEEDS CLARIFICATION] What user-facing response is required when a syntactically valid ZIP code cannot be geocoded?","","","","","","","","Pending"
"CLS0010","US02_C0_R1","US02","C0","Q10","S01","[NEEDS CLARIFICATION] What defines a facility as “verified” for eligibility in search results?","","","","","","","","Pending"
"CLS0011","US02_C0_R2","US02","C0","Q01","S01","What ZIP code formats must be accepted?","","","","","","","","Pending"
"CLS0012","US02_C0_R2","US02","C0","Q02","S01","What facility details must each search result display so users can decide which facilities to consider?","","","","","","","","Pending"
"CLS0013","US02_C0_R2","US02","C0","Q03","S01","What should happen when a syntactically valid ZIP code cannot be geocoded?","","","","","","","","Pending"
"CLS0014","US02_C0_R2","US02","C0","Q04","S01","How should facilities with the same calculated distance be ordered?","","","","","","","","Pending"
"CLS0015","US02_C0_R2","US02","C0","Q05","S01","Which source is authoritative for recycling facility data?","","","","","","","","Pending"
"CLS0016","US02_C0_R2","US02","C0","Q06","S01","[NEEDS CLARIFICATION] What ZIP code formats must be accepted?","","","","","","","","Pending"
"CLS0017","US02_C0_R2","US02","C0","Q07","S01","[NEEDS CLARIFICATION] What facility details must each search result display so users can decide which facilities to consider?","","","","","","","","Pending"
"CLS0018","US02_C0_R2","US02","C0","Q08","S01","[NEEDS CLARIFICATION] What should happen when a syntactically valid ZIP code cannot be geocoded?","","","","","","","","Pending"
"CLS0019","US02_C0_R2","US02","C0","Q09","S01","[NEEDS CLARIFICATION] How should facilities with the same calculated distance be ordered?","","","","","","","","Pending"
"CLS0020","US02_C0_R2","US02","C0","Q10","S01","[NEEDS CLARIFICATION] Which source is authoritative for recycling facility data?","","","","","","","","Pending"
"CLS0021","US02_C0_R3","US02","C0","Q01","S01","Which ZIP code formats must be accepted?","","","","","","","","Pending"
"CLS0022","US02_C0_R3","US02","C0","Q02","S01","What facility details must appear in each result?","","","","","","","","Pending"
"CLS0023","US02_C0_R3","US02","C0","Q03","S01","How should facilities with the same calculated distance be ordered?","","","","","","","","Pending"
