"Run_ID","US_ID","Condition","Question_ID","Question_Original","Source_File","Review_Status"
"US02_C0_R1","US02","C0","Q01","What minimum facility details must each result display so users can decide which facilities to consider?","runs\US02_C0_R1\output.md","Check"
"US02_C0_R1","US02","C0","Q02","What ZIP code formats are valid: 5-digit only, ZIP+4, or both?","runs\US02_C0_R1\output.md","Check"
"US02_C0_R1","US02","C0","Q03","When multiple facilities have the same distance, what secondary ordering should be used?","runs\US02_C0_R1\output.md","Check"
"US02_C0_R1","US02","C0","Q04","What user-facing response is required when a syntactically valid ZIP code cannot be geocoded?","runs\US02_C0_R1\output.md","Check"
"US02_C0_R1","US02","C0","Q05","What defines a facility as “verified” for eligibility in search results?","runs\US02_C0_R1\output.md","Check"
"US02_C0_R1","US02","C0","Q06","[NEEDS CLARIFICATION] What minimum facility details must each result display so users can decide which facilities to consider?","runs\US02_C0_R1\output.md","Check"
"US02_C0_R1","US02","C0","Q07","[NEEDS CLARIFICATION] What ZIP code formats are valid: 5-digit only, ZIP+4, or both?","runs\US02_C0_R1\output.md","Check"
"US02_C0_R1","US02","C0","Q08","[NEEDS CLARIFICATION] When multiple facilities have the same distance, what secondary ordering should be used?","runs\US02_C0_R1\output.md","Check"
"US02_C0_R1","US02","C0","Q09","[NEEDS CLARIFICATION] What user-facing response is required when a syntactically valid ZIP code cannot be geocoded?","runs\US02_C0_R1\output.md","Check"
"US02_C0_R1","US02","C0","Q10","[NEEDS CLARIFICATION] What defines a facility as “verified” for eligibility in search results?","runs\US02_C0_R1\output.md","Check"
"US02_C0_R2","US02","C0","Q01","What ZIP code formats must be accepted?","runs\US02_C0_R2\output.md","Check"
"US02_C0_R2","US02","C0","Q02","What facility details must each search result display so users can decide which facilities to consider?","runs\US02_C0_R2\output.md","Check"
"US02_C0_R2","US02","C0","Q03","What should happen when a syntactically valid ZIP code cannot be geocoded?","runs\US02_C0_R2\output.md","Check"
"US02_C0_R2","US02","C0","Q04","How should facilities with the same calculated distance be ordered?","runs\US02_C0_R2\output.md","Check"
"US02_C0_R2","US02","C0","Q05","Which source is authoritative for recycling facility data?","runs\US02_C0_R2\output.md","Check"
"US02_C0_R2","US02","C0","Q06","[NEEDS CLARIFICATION] What ZIP code formats must be accepted?","runs\US02_C0_R2\output.md","Check"
"US02_C0_R2","US02","C0","Q07","[NEEDS CLARIFICATION] What facility details must each search result display so users can decide which facilities to consider?","runs\US02_C0_R2\output.md","Check"
"US02_C0_R2","US02","C0","Q08","[NEEDS CLARIFICATION] What should happen when a syntactically valid ZIP code cannot be geocoded?","runs\US02_C0_R2\output.md","Check"
"US02_C0_R2","US02","C0","Q09","[NEEDS CLARIFICATION] How should facilities with the same calculated distance be ordered?","runs\US02_C0_R2\output.md","Check"
"US02_C0_R2","US02","C0","Q10","[NEEDS CLARIFICATION] Which source is authoritative for recycling facility data?","runs\US02_C0_R2\output.md","Check"
"US02_C0_R3","US02","C0","Q01","Which ZIP code formats must be accepted?","runs\US02_C0_R3\output.md","Check"
"US02_C0_R3","US02","C0","Q02","What facility details must appear in each result?","runs\US02_C0_R3\output.md","Check"
"US02_C0_R3","US02","C0","Q03","How should facilities with the same calculated distance be ordered?","runs\US02_C0_R3\output.md","Check"
"US02_C0_R3","US02","C0","Q04","What should happen when ZIP-to-coordinate lookup fails for an otherwise valid ZIP code?","runs\US02_C0_R3\output.md","Check"
"US02_C0_R3","US02","C0","Q05","Must users be able to filter results by accepted recyclable material?","runs\US02_C0_R3\output.md","Check"
"US02_C0_R3","US02","C0","Q06","[NEEDS CLARIFICATION] Which ZIP code formats must be accepted?","runs\US02_C0_R3\output.md","Check"
"US02_C0_R3","US02","C0","Q07","[NEEDS CLARIFICATION] What facility details must appear in each result?","runs\US02_C0_R3\output.md","Check"
"US02_C0_R3","US02","C0","Q08","[NEEDS CLARIFICATION] How should facilities with the same calculated distance be ordered?","runs\US02_C0_R3\output.md","Check"
